iter	Passed	Remaining
934	1326959	1511456
935	1328288	1509934
936	1329625	1508422
937	1330881	1506818
938	1332172	1505255
939	1333563	1503805
940	1334940	1502340
941	1336231	1500777
942	1337529	1499223
943	1338869	1497718
944	1340183	1496183
945	1341519	1494673
946	1342867	1493178
947	1344169	1491630
948	1345484	1490098
949	1346761	1488526
950	1347993	1486903
951	1349192	1485246
952	1350456	1483659
953	1351795	1482157
954	1353271	1480804
955	1354617	1479310
956	1355825	1477665
957	1357260	1476268
958	1358665	1474839
959	1360209	1473559
960	1361427	1471927
961	1362710	1470367
962	1364047	1468864
963	1365350	1467326
964	1366769	1465913
965	1368218	1464531
966	1369588	1463065
967	1370939	1461579
968	1372361	1460170
969	1373667	1458636
970	1375086	1457223
971	1376347	1455643
